19/01/2021,"-350.00","Fee for attending settlement","0.00"
19/01/2021,"-101.43","Interest charged","+350.00"
19/01/2021,"+61007.97","Repayment/Payment","+451.43"
01/01/2021,"+276.00","Repayment/Payment","-60556.54"
01/01/2021,"-173.88","Interest charged","-60832.54"
01/12/2020,"+276.00","Repayment/Payment","-60658.66"
01/12/2020,"-167.29","Interest charged","-60934.66"
01/11/2020,"+276.00","Repayment/Payment","-60767.37"
01/11/2020,"-169.25","Interest charged","-61043.37"
01/10/2020,"+276.00","Repayment/Payment","-60874.12"
01/10/2020,"-162.17","Interest charged","-61150.12"
01/09/2020,"+276.00","Repayment/Payment","-60987.95"
01/09/2020,"-166.21","Interest charged","-61263.95"
27/08/2020,"-1134.00","Repayment Redraw NetBank","-61097.74"
01/08/2020,"+276.00","Repayment/Payment","-59963.74"
01/08/2020,"-162.96","Interest charged","-60239.74"
01/07/2020,"+286.00","Repayment/Payment","-60076.78"
01/07/2020,"-132.16","Interest charged","-60362.78"
